,T2M,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-11-19,20.2,45.49,0.0,2.74,16.71
2020-11-20,20.91,40.77,0.0,3.76,17.16
2020-11-21,21.18,31.6,0.0,3.56,17.38
2020-11-22,19.82,41.02,0.0,3.2,16.62
2020-11-23,17.83,37.29,0.0,2.14,16.42
2020-11-24,17.02,38.92,0.0,1.85,17.08
2020-11-25,17.24,33.77,0.0,2.21,17.03
2020-11-26,18.61,27.43,0.0,3.66,16.15
2020-11-27,18.85,42.77,0.06,3.05,6.39
2020-11-28,20.28,57.27,3.74,3.68,10.93
2020-11-29,21.41,56.4,0.89,2.62,13.27
2020-11-30,19.33,66.04,0.26,2.44,6.74
2020-12-01,17.45,72.63,2.15,2.78,6.34
2020-12-02,19.11,66.23,0.0,2.71,9.66
2020-12-03,21.23,52.44,0.0,2.76,15.2
2020-12-04,21.12,53.57,0.0,3.13,15.8
2020-12-05,20.89,48.55,0.06,3.53,15.35
2020-12-06,19.84,37.5,0.06,4.05,16.08
2020-12-07,13.99,52.58,0.0,2.68,17.03
2020-12-08,13.98,46.04,0.0,1.76,16.99
2020-12-09,16.62,36.78,0.0,1.25,16.28
2020-12-10,15.97,39.06,0.0,2.46,16.24
2020-12-11,14.17,47.92,0.0,1.73,15.87
2020-12-12,14.45,44.08,0.0,1.25,16.06
2020-12-13,15.17,41.0,0.0,0.99,16.31
2020-12-14,14.89,40.07,0.0,1.37,16.4
2020-12-15,14.56,33.65,0.0,3.16,15.77
2020-12-16,15.56,27.82,0.0,3.51,15.76
2020-12-17,17.12,35.27,0.0,3.17,15.72
2020-12-18,16.04,50.67,0.0,1.44,14.68
2020-12-19,14.16,70.07,0.0,3.19,10.61
2020-12-20,14.53,65.78,0.0,2.29,11.75
2020-12-21,14.23,56.74,0.0,1.36,14.24
2020-12-22,15.06,52.08,0.0,1.04,15.25
2020-12-23,15.77,47.44,0.0,2.18,15.74
2020-12-24,17.52,43.82,0.0,2.9,14.26
2020-12-25,13.91,50.87,0.0,3.25,13.82
2020-12-26,11.15,25.46,0.0,2.65,13.11
2020-12-27,10.94,26.19,0.0,2.15,13.99
2020-12-28,11.31,58.87,0.0,1.85,14.34
2020-12-29,12.83,68.23,0.0,1.54,13.51
2020-12-30,13.64,58.76,0.0,1.76,15.39
2020-12-31,13.85,43.73,0.0,1.89,15.28
2021-01-01,14.7,56.24,0.01,1.53,10.76
2021-01-02,16.4,62.09,0.0,1.29,15.13
2021-01-03,16.09,61.99,0.0,1.25,15.11
2021-01-04,17.4,51.43,0.36,2.68,10.3
2021-01-05,16.68,49.68,0.0,2.84,15.5
2021-01-06,16.31,50.31,0.0,1.9,14.34
2021-01-07,15.4,53.13,0.19,2.33,12.38
2021-01-08,13.36,68.01,6.75,1.53,9.52
2021-01-09,12.85,62.14,0.0,2.01,16.63
2021-01-10,12.76,63.54,0.0,1.59,16.3
2021-01-11,12.95,57.62,0.0,1.22,16.4
2021-01-12,10.83,42.6,0.0,2.19,17.36
2021-01-13,10.81,30.33,0.0,1.98,18.13
2021-01-14,13.28,27.91,0.0,2.12,18.06
2021-01-15,15.97,44.85,0.0,3.09,12.2
2021-01-16,15.8,58.92,0.0,2.39,16.02
2021-01-17,17.76,38.5,0.0,3.29,17.15
2021-01-18,16.75,34.12,0.0,1.6,17.55
2021-01-19,14.38,37.95,0.0,2.39,17.45
2021-01-20,15.88,38.64,0.0,3.28,17.86
2021-01-21,11.91,37.93,0.0,4.75,15.47
2021-01-22,8.33,27.39,0.0,3.21,18.0
2021-01-23,9.3,23.49,0.0,2.01,18.08
2021-01-24,11.69,23.2,0.0,1.12,18.27
2021-01-25,13.44,19.2,0.0,1.77,18.89
2021-01-26,14.91,21.11,0.0,1.69,18.02
2021-01-27,15.59,20.24,0.0,2.72,18.19
2021-01-28,17.46,30.04,0.0,4.09,18.37
2021-01-29,18.91,26.55,0.0,3.71,17.07
2021-01-30,17.14,32.8,0.0,3.46,17.02
2021-01-31,13.53,38.6,0.0,1.83,18.15
2021-02-01,14.83,32.54,0.0,1.63,18.74
2021-02-02,16.04,31.62,0.0,2.06,18.93
2021-02-03,17.07,29.98,0.0,1.87,19.18
2021-02-04,18.38,29.61,0.0,3.36,19.56
2021-02-05,18.49,27.42,0.0,4.67,18.64
2021-02-06,16.15,52.54,0.0,2.49,14.81
2021-02-07,14.76,57.06,0.0,3.43,20.07
2021-02-08,13.15,61.47,0.0,2.86,17.5
2021-02-09,13.86,52.48,0.0,2.51,20.81
2021-02-10,14.62,35.39,0.0,2.47,21.05
2021-02-11,16.18,26.33,0.0,1.93,21.4
2021-02-12,18.12,20.71,0.0,1.23,20.31
2021-02-13,17.93,23.37,0.0,1.19,15.69
2021-02-14,18.8,23.64,0.0,2.01,21.36
2021-02-15,19.34,24.69,0.0,2.2,16.51
2021-02-16,20.32,23.56,0.0,3.54,21.5
2021-02-17,22.0,18.59,0.0,4.46,19.68
2021-02-18,17.85,62.37,0.21,3.92,8.86
2021-02-19,12.86,51.81,0.41,3.31,13.19
2021-02-20,11.0,73.3,0.9,2.59,11.13
2021-02-21,13.84,76.25,1.33,2.87,12.32
2021-02-22,15.79,58.66,0.1,3.05,17.85
2021-02-23,16.56,50.22,0.0,3.1,15.39
2021-02-24,17.32,49.27,0.0,2.74,18.21
2021-02-25,15.69,46.71,0.0,4.36,21.02
2021-02-26,13.72,33.38,0.0,2.87,23.12
2021-02-27,15.11,27.52,0.0,1.7,21.9
2021-02-28,17.26,25.38,0.01,4.28,21.09
2021-03-01,20.01,26.5,0.1,3.68,20.82
2021-03-02,18.35,32.37,0.0,2.98,21.25
2021-03-03,18.9,37.27,0.54,2.97,19.55
2021-03-04,21.41,29.87,0.0,3.74,22.33
